swc_id,category,status
SWC-101,arithmetic,established
SWC-104,unchecked_low_level_calls,established
SWC-105,access_control,established
SWC-106,access_control,established
SWC-107,reentrancy,established
SWC-112,access_control,established
SWC-113,denial_of_service,established
SWC-114,front_running,established
SWC-115,access_control,established
SWC-116,time_manipulation,established
SWC-120,bad_randomness,established
SWC-128,denial_of_service,established
SWC-110,unknown_unknowns,DASP_official_catchall
SWC-124,access_control,PROPOSED_review
