tool,contract,access_control,arithmetic,bad_randomness,denial_of_service,front_running,reentrancy,short_addresses,time_manipulation,unchecked_low_level_calls,TP,FP,FN,TN,precision,recall,f1,accuracy
confuzzius,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,False,False,False,False,False,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,False,False,False,False,False,True,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,True,False,False,False,False,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,False,False,False,False,False,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,False,False,False,False,False,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,arbitrary_location_write_simple,True,True,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,auction,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,bectoken,False,True,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,blackjack,False,False,False,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,dos_address,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,dos_number,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,dos_simple,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,erc20,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,eth_tx_order_dependence_minimal,True,False,False,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,ether_lotto,False,False,True,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,etheraffle,False,False,False,False,True,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,fibonaccibalance,False,True,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,findthishash,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,governmental_survey,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,guess_the_random_number,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,incorrect_constructor_name1,True,False,False,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,incorrect_constructor_name2,True,False,False,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,incorrect_constructor_name3,True,False,False,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,insecure_transfer,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,integer_overflow_1,False,True,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,integer_overflow_add,False,True,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,integer_overflow_benign_1,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,list_dos,False,True,True,False,False,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,lottery,False,False,True,False,True,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,lottopollo,False,False,True,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,lucky_doubler,False,False,False,False,False,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,odds_and_evens,False,False,False,False,True,False,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,reentrance,False,False,False,False,False,True,False,False,True,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,reentrancy_bonus,False,False,False,False,False,True,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,reentrancy_cross_function,False,False,False,False,True,True,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,reentrancy_dao,False,False,False,False,True,True,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,reentrancy_insecure,False,False,False,False,False,True,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,roulette,False,False,True,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,short_address_example,False,False,False,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
confuzzius,timed_crowdsale,False,False,True,False,False,False,False,False,False,20,25,20,295,0.444,0.5,0.471,0.875
mythril,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,False,False,False,False,False,True,False,False,True,15,21,25,299,0.417,0.375,0.395,0.872
mythril,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,arbitrary_location_write_simple,True,True,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,auction,False,False,False,False,True,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,bectoken,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,blackjack,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,dos_address,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,dos_number,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,dos_simple,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,erc20,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,eth_tx_order_dependence_minimal,True,False,False,False,True,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,ether_lotto,False,False,False,True,True,False,False,True,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,etheraffle,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,fibonaccibalance,True,True,False,True,True,True,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,findthishash,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,governmental_survey,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,guess_the_random_number,True,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,incorrect_constructor_name1,True,False,False,False,True,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,incorrect_constructor_name2,True,False,False,False,True,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,incorrect_constructor_name3,True,False,False,False,True,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,insecure_transfer,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,integer_overflow_1,False,True,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,integer_overflow_add,False,True,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,integer_overflow_benign_1,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,list_dos,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,lottery,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,lottopollo,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,lucky_doubler,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,odds_and_evens,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,reentrance,True,False,False,False,False,True,False,False,True,15,21,25,299,0.417,0.375,0.395,0.872
mythril,reentrancy_bonus,True,False,False,False,True,True,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,reentrancy_cross_function,False,False,False,False,True,True,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,reentrancy_dao,False,False,False,False,True,True,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,reentrancy_insecure,False,False,False,False,True,True,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,roulette,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,short_address_example,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
mythril,timed_crowdsale,False,False,False,False,False,False,False,False,False,15,21,25,299,0.417,0.375,0.395,0.872
slither,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,True,False,False,False,False,False,False,False,True,13,45,27,275,0.224,0.325,0.265,0.8
slither,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,True,False,False,False,False,False,False,False,True,13,45,27,275,0.224,0.325,0.265,0.8
slither,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,True,False,False,False,False,False,False,False,True,13,45,27,275,0.224,0.325,0.265,0.8
slither,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,True,False,False,False,False,False,False,False,True,13,45,27,275,0.224,0.325,0.265,0.8
slither,0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,False,False,False,True,False,False,False,False,True,13,45,27,275,0.224,0.325,0.265,0.8
slither,arbitrary_location_write_simple,True,False,False,False,False,False,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,auction,False,False,False,False,False,True,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,bectoken,False,False,False,False,False,False,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,blackjack,True,False,True,False,False,True,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,dos_address,True,False,False,False,False,False,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,dos_number,False,False,False,False,False,False,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,dos_simple,False,False,False,False,False,False,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
slither,erc20,False,False,False,False,False,False,False,False,False,13,45,27,275,0.224,0.325,0.265,0.8
