tool,category,TP,FP,FN,TN,precision,recall,f1
confuzzius,access_control,4,2,1,33,0.667,0.8,0.727
confuzzius,arithmetic,3,3,2,32,0.5,0.6,0.545
confuzzius,bad_randomness,1,5,4,30,0.167,0.2,0.182
confuzzius,denial_of_service,0,0,5,35,0.0,0.0,0.0
confuzzius,front_running,2,9,2,27,0.182,0.5,0.267
confuzzius,reentrancy,5,1,0,34,0.833,1.0,0.909
confuzzius,short_addresses,0,0,1,39,0.0,0.0,0.0
confuzzius,time_manipulation,0,0,5,35,0.0,0.0,0.0
confuzzius,unchecked_low_level_calls,5,5,0,30,0.5,1.0,0.667
mythril,access_control,5,4,0,31,0.556,1.0,0.714
mythril,arithmetic,2,2,3,33,0.5,0.4,0.444
mythril,bad_randomness,0,0,5,35,0.0,0.0,0.0
mythril,denial_of_service,0,2,5,33,0.0,0.0,0.0
mythril,front_running,1,10,3,26,0.091,0.25,0.133
mythril,reentrancy,5,2,0,33,0.714,1.0,0.833
mythril,short_addresses,0,0,1,39,0.0,0.0,0.0
mythril,time_manipulation,1,0,4,35,1.0,0.2,0.333
mythril,unchecked_low_level_calls,1,1,4,34,0.5,0.2,0.286
slither,access_control,2,16,3,19,0.111,0.4,0.174
slither,arithmetic,0,6,5,29,0.0,0.0,0.0
slither,bad_randomness,2,2,3,33,0.5,0.4,0.444
slither,denial_of_service,0,3,5,32,0.0,0.0,0.0
slither,front_running,0,0,4,36,0.0,0.0,0.0
slither,reentrancy,3,9,2,26,0.25,0.6,0.353
slither,short_addresses,0,0,1,39,0.0,0.0,0.0
slither,time_manipulation,5,2,0,33,0.714,1.0,0.833
slither,unchecked_low_level_calls,5,4,0,31,0.556,1.0,0.714
smartcheck,access_control,5,23,0,12,0.179,1.0,0.303
smartcheck,arithmetic,1,2,4,33,0.333,0.2,0.25
smartcheck,bad_randomness,0,0,5,35,0.0,0.0,0.0
smartcheck,denial_of_service,0,7,5,28,0.0,0.0,0.0
smartcheck,front_running,1,1,3,35,0.5,0.25,0.333
smartcheck,reentrancy,0,0,5,35,0.0,0.0,0.0
smartcheck,short_addresses,0,0,1,39,0.0,0.0,0.0
smartcheck,time_manipulation,1,0,4,35,1.0,0.2,0.333
smartcheck,unchecked_low_level_calls,5,8,0,27,0.385,1.0,0.556
solhint,access_control,0,2,5,33,0.0,0.0,0.0
solhint,arithmetic,0,0,5,35,0.0,0.0,0.0
solhint,bad_randomness,3,4,2,31,0.429,0.6,0.5
solhint,denial_of_service,1,6,4,29,0.143,0.2,0.167
solhint,front_running,0,0,4,36,0.0,0.0,0.0
solhint,reentrancy,0,10,5,25,0.0,0.0,0.0
solhint,short_addresses,0,0,1,39,0.0,0.0,0.0
solhint,time_manipulation,5,3,0,32,0.625,1.0,0.769
solhint,unchecked_low_level_calls,5,11,0,24,0.312,1.0,0.476
confuzzius,ALL_CATEGORIES,20,25,20,295,0.444,0.5,0.471
mythril,ALL_CATEGORIES,15,21,25,299,0.417,0.375,0.395
slither,ALL_CATEGORIES,17,42,23,278,0.288,0.425,0.343
solhint,ALL_CATEGORIES,14,36,26,284,0.28,0.35,0.311
smartcheck,ALL_CATEGORIES,13,41,27,279,0.241,0.325,0.277
