contract,contract_name,tool,rule,category,swc,severity,line,column,code,mode
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-101,Integer Overflow,101,High,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
arbitrary_location_write_simple,Wallet,ConFuzzius,SWC-124,Arbitrary Memory Access,124,High,,,,onchain
FibonacciBalance,FibonacciLib,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
FibonacciBalance,FibonacciLib,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
FibonacciBalance,FibonacciLib,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
FibonacciBalance,FibonacciLib,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
FibonacciBalance,FibonacciLib,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
FibonacciBalance,FibonacciLib,ConFuzzius,SWC-101,Integer Overflow,101,High,,,,onchain
incorrect_constructor_name1,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name1,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name1,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name1,Missing,ConFuzzius,SWC-114,Transaction Order Dependency,114,Medium,,,,onchain
incorrect_constructor_name1,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name1,Missing,ConFuzzius,SWC-105,Leaking Ether,105,High,,,,onchain
incorrect_constructor_name2,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name2,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name2,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name2,Missing,ConFuzzius,SWC-105,Leaking Ether,105,High,,,,onchain
incorrect_constructor_name2,Missing,ConFuzzius,SWC-114,Transaction Order Dependency,114,Medium,,,,onchain
incorrect_constructor_name2,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name3,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name3,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name3,Missing,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
incorrect_constructor_name3,Missing,ConFuzzius,SWC-114,Transaction Order Dependency,114,Medium,,,,onchain
incorrect_constructor_name3,Missing,ConFuzzius,SWC-105,Leaking Ether,105,High,,,,onchain
BECToken,BecToken,ConFuzzius,SWC-101,Integer Overflow,101,High,264,1,uint256(cnt) * _value,offline
insecure_transfer,IntegerOverflowAdd,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
insecure_transfer,IntegerOverflowAdd,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
insecure_transfer,IntegerOverflowAdd,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
insecure_transfer,IntegerOverflowAdd,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
integer_overflow_1,Overflow,ConFuzzius,SWC-101,Integer Overflow,101,High,14,1,sellerBalance += value,offline
integer_overflow_add,IntegerOverflowAdd,ConFuzzius,SWC-101,Integer Overflow,101,High,17,1,count += input,offline
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
blackjack,BlackJack,ConFuzzius,SWC-110,Assertion Failure,110,Medium,,,,onchain
