contract,ground_truth_category,tool,rule,severity
fibonaccibalance,access_control,slither,arbitrary-send-eth,High
fibonaccibalance,access_control,slither,controlled-delegatecall,High
fibonaccibalance,access_control,slither,uninitialized-state,High
fibonaccibalance,access_control,slither,missing-zero-check,Low
fibonaccibalance,access_control,slither,deprecated-standards,Informational
fibonaccibalance,access_control,slither,solc-version,Informational
fibonaccibalance,access_control,slither,low-level-calls,Informational
fibonaccibalance,access_control,slither,naming-convention,Informational
fibonaccibalance,access_control,slither,constable-states,Optimization
arbitrary_location_write_simple,access_control,slither,controlled-array-length,High
arbitrary_location_write_simple,access_control,slither,tautology,Medium
arbitrary_location_write_simple,access_control,slither,solc-version,Informational
arbitrary_location_write_simple,access_control,slither,naming-convention,Informational
incorrect_constructor_name1,access_control,slither,solc-version,Informational
incorrect_constructor_name1,access_control,slither,naming-convention,Informational
incorrect_constructor_name2,access_control,slither,solc-version,Informational
incorrect_constructor_name3,access_control,slither,solc-version,Informational
incorrect_constructor_name3,access_control,slither,naming-convention,Informational
bectoken,arithmetic,slither,solc-version,Informational
bectoken,arithmetic,slither,naming-convention,Informational
bectoken,arithmetic,slither,too-many-digits,Informational
bectoken,arithmetic,slither,constable-states,Optimization
bectoken,arithmetic,slither,external-function,Optimization
insecure_transfer,arithmetic,slither,erc20-interface,Medium
insecure_transfer,arithmetic,slither,solc-version,Informational
insecure_transfer,arithmetic,slither,naming-convention,Informational
integer_overflow_1,arithmetic,slither,solc-version,Informational
integer_overflow_add,arithmetic,slither,solc-version,Informational
integer_overflow_benign_1,arithmetic,slither,solc-version,Informational
integer_overflow_benign_1,arithmetic,slither,constable-states,Optimization
blackjack,bad_randomness,slither,controlled-array-length,High
blackjack,bad_randomness,slither,weak-prng,High
blackjack,bad_randomness,slither,tautology,Medium
blackjack,bad_randomness,slither,dead-code,Informational
blackjack,bad_randomness,slither,deprecated-standards,Informational
blackjack,bad_randomness,slither,solc-version,Informational
blackjack,bad_randomness,slither,naming-convention,Informational
blackjack,bad_randomness,slither,reentrancy-unlimited-gas,Informational
blackjack,bad_randomness,slither,constable-states,Optimization
etheraffle,bad_randomness,slither,calls-loop,Low
etheraffle,bad_randomness,slither,costly-loop,Informational
etheraffle,bad_randomness,slither,solc-version,Informational
etheraffle,bad_randomness,slither,naming-convention,Informational
etheraffle,bad_randomness,slither,reentrancy-unlimited-gas,Informational
guess_the_random_number,bad_randomness,slither,arbitrary-send-eth,High
guess_the_random_number,bad_randomness,slither,incorrect-equality,Medium
guess_the_random_number,bad_randomness,slither,timestamp,Low
guess_the_random_number,bad_randomness,slither,deprecated-standards,Informational
guess_the_random_number,bad_randomness,slither,solc-version,Informational
lottery,bad_randomness,slither,controlled-array-length,High
lottery,bad_randomness,slither,incorrect-equality,Medium
lottery,bad_randomness,slither,deprecated-standards,Informational
lottery,bad_randomness,slither,solc-version,Informational
lottery,bad_randomness,slither,cache-array-length,Optimization
lucky_doubler,bad_randomness,slither,controlled-array-length,High
lucky_doubler,bad_randomness,slither,weak-prng,High
lucky_doubler,bad_randomness,slither,unchecked-send,Medium
lucky_doubler,bad_randomness,slither,events-access,Low
lucky_doubler,bad_randomness,slither,events-maths,Low
lucky_doubler,bad_randomness,slither,missing-zero-check,Low
lucky_doubler,bad_randomness,slither,incorrect-modifier,Low
lucky_doubler,bad_randomness,slither,deprecated-standards,Informational
lucky_doubler,bad_randomness,slither,solc-version,Informational
lucky_doubler,bad_randomness,slither,naming-convention,Informational
lucky_doubler,bad_randomness,slither,reentrancy-unlimited-gas,Informational
lucky_doubler,bad_randomness,slither,constable-states,Optimization
auction,denial_of_service,slither,solc-version,Informational
auction,denial_of_service,slither,reentrancy-unlimited-gas,Informational
dos_address,denial_of_service,slither,controlled-array-length,High
dos_address,denial_of_service,slither,solc-version,Informational
dos_number,denial_of_service,slither,costly-loop,Informational
dos_number,denial_of_service,slither,solc-version,Informational
dos_simple,denial_of_service,slither,solc-version,Informational
list_dos,denial_of_service,slither,controlled-array-length,High
list_dos,denial_of_service,slither,unchecked-send,Medium
list_dos,denial_of_service,slither,missing-zero-check,Low
list_dos,denial_of_service,slither,timestamp,Low
list_dos,denial_of_service,slither,solc-version,Informational
list_dos,denial_of_service,slither,naming-convention,Informational
list_dos,denial_of_service,slither,reentrancy-unlimited-gas,Informational
list_dos,denial_of_service,slither,cache-array-length,Optimization
list_dos,denial_of_service,slither,constable-states,Optimization
erc20,front_running,slither,solc-version,Informational
erc20,front_running,slither,unused-state,Informational
erc20,front_running,slither,constable-states,Optimization
findthishash,front_running,slither,arbitrary-send-eth,High
findthishash,front_running,slither,deprecated-standards,Informational
findthishash,front_running,slither,solc-version,Informational
findthishash,front_running,slither,external-function,Optimization
eth_tx_order_dependence_minimal,front_running,slither,events-maths,Low
eth_tx_order_dependence_minimal,front_running,slither,solc-version,Informational
eth_tx_order_dependence_minimal,front_running,slither,reentrancy-unlimited-gas,Informational
odds_and_evens,front_running,slither,arbitrary-send-eth,High
odds_and_evens,front_running,slither,deprecated-standards,Informational
odds_and_evens,front_running,slither,solc-version,Informational
odds_and_evens,front_running,slither,reentrancy-unlimited-gas,Informational
reentrance,reentrancy,slither,reentrancy-eth,High
reentrance,reentrancy,slither,solc-version,Informational
reentrance,reentrancy,slither,low-level-calls,Informational
reentrance,reentrancy,slither,naming-convention,Informational
reentrance,reentrancy,slither,redundant-statements,Informational
reentrancy_dao,reentrancy,slither,reentrancy-eth,High
reentrancy_dao,reentrancy,slither,solc-version,Informational
reentrancy_dao,reentrancy,slither,low-level-calls,Informational
reentrancy_insecure,reentrancy,slither,reentrancy-eth,High
reentrancy_insecure,reentrancy,slither,solc-version,Informational
reentrancy_insecure,reentrancy,slither,low-level-calls,Informational
reentrancy_insecure,reentrancy,slither,naming-convention,Informational
short_address_example,short_addresses,slither,solc-version,Informational
ether_lotto,time_manipulation,slither,arbitrary-send-eth,High
ether_lotto,time_manipulation,slither,weak-prng,High
ether_lotto,time_manipulation,slither,incorrect-equality,Medium
ether_lotto,time_manipulation,slither,timestamp,Low
ether_lotto,time_manipulation,slither,deprecated-standards,Informational
ether_lotto,time_manipulation,slither,solc-version,Informational
ether_lotto,time_manipulation,slither,reentrancy-unlimited-gas,Informational
governmental_survey,time_manipulation,slither,arbitrary-send-eth,High
governmental_survey,time_manipulation,slither,tautology,Medium
governmental_survey,time_manipulation,slither,unchecked-send,Medium
governmental_survey,time_manipulation,slither,timestamp,Low
governmental_survey,time_manipulation,slither,deprecated-standards,Informational
governmental_survey,time_manipulation,slither,solc-version,Informational
governmental_survey,time_manipulation,slither,naming-convention,Informational
governmental_survey,time_manipulation,slither,reentrancy-unlimited-gas,Informational
governmental_survey,time_manipulation,slither,constable-states,Optimization
lottopollo,time_manipulation,slither,arbitrary-send-eth,High
lottopollo,time_manipulation,slither,unchecked-send,Medium
lottopollo,time_manipulation,slither,timestamp,Low
lottopollo,time_manipulation,slither,solc-version,Informational
lottopollo,time_manipulation,slither,naming-convention,Informational
roulette,time_manipulation,slither,arbitrary-send-eth,High
roulette,time_manipulation,slither,weak-prng,High
roulette,time_manipulation,slither,incorrect-equality,Medium
roulette,time_manipulation,slither,timestamp,Low
roulette,time_manipulation,slither,solc-version,Informational
timed_crowdsale,time_manipulation,slither,timestamp,Low
timed_crowdsale,time_manipulation,slither,solc-version,Informational
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,unchecked_low_level_calls,slither,unchecked-lowlevel,Medium
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,unchecked_low_level_calls,slither,missing-zero-check,Low
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,unchecked_low_level_calls,slither,solc-version,Informational
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,unchecked_low_level_calls,slither,low-level-calls,Informational
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,shadowing-state,High
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,locked-ether,Medium
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,unchecked-lowlevel,Medium
