tool,rule
confuzzius,SWC-101
confuzzius,SWC-104
confuzzius,SWC-105
confuzzius,SWC-107
confuzzius,SWC-110
confuzzius,SWC-114
confuzzius,SWC-120
confuzzius,SWC-124
mythril,SWC-101
mythril,SWC-104
mythril,SWC-105
mythril,SWC-107
mythril,SWC-110
mythril,SWC-112
mythril,SWC-113
mythril,SWC-114
mythril,SWC-116
mythril,SWC-124
slither,arbitrary-send-eth
slither,cache-array-length
slither,calls-loop
slither,constable-states
slither,controlled-array-length
slither,controlled-delegatecall
slither,costly-loop
slither,dead-code
slither,deprecated-standards
slither,erc20-interface
slither,events-access
slither,events-maths
slither,external-function
slither,incorrect-equality
slither,incorrect-modifier
slither,locked-ether
slither,low-level-calls
slither,missing-zero-check
slither,naming-convention
slither,redundant-statements
slither,reentrancy-eth
slither,reentrancy-unlimited-gas
slither,shadowing-state
slither,solc-version
slither,tautology
slither,timestamp
slither,too-many-digits
slither,unchecked-lowlevel
slither,unchecked-send
slither,uninitialized-state
slither,unused-state
slither,weak-prng
smartcheck,SOLIDITY_ADDRESS_HARDCODED
smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION
smartcheck,SOLIDITY_BALANCE_EQUALITY
smartcheck,SOLIDITY_CALL_WITHOUT_DATA
smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS
smartcheck,SOLIDITY_ERC20_APPROVE
smartcheck,SOLIDITY_EXACT_TIME
smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS
smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS
smartcheck,SOLIDITY_LOCKED_MONEY
smartcheck,SOLIDITY_PRAGMAS_VERSION
smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT
smartcheck,SOLIDITY_REVERT_REQUIRE
smartcheck,SOLIDITY_SAFEMATH
smartcheck,SOLIDITY_SEND
smartcheck,SOLIDITY_SHOULD_RETURN_STRUCT
smartcheck,SOLIDITY_TRANSFER_IN_LOOP
smartcheck,SOLIDITY_TX_ORIGIN
smartcheck,SOLIDITY_UNCHECKED_CALL
smartcheck,SOLIDITY_UPGRADE_TO_050
smartcheck,SOLIDITY_VAR
smartcheck,SOLIDITY_VISIBILITY
solhint,avoid-call-value
solhint,avoid-low-level-calls
solhint,avoid-sha3
solhint,avoid-suicide
solhint,avoid-throw
solhint,avoid-tx-origin
solhint,check-send-result
solhint,compiler-version
solhint,const-name-snakecase
solhint,constructor-syntax
solhint,contract-name-capwords
solhint,explicit-types
solhint,func-name-mixedcase
solhint,func-visibility
solhint,function-max-lines
solhint,gas-increment-by-one
solhint,gas-indexed-events
solhint,gas-small-strings
solhint,gas-strict-inequalities
solhint,multiple-sends
solhint,no-complex-fallback
solhint,no-empty-blocks
solhint,no-unchecked-calls
solhint,no-unused-vars
solhint,not-rely-on-block-hash
solhint,not-rely-on-time
solhint,one-contract-per-file
solhint,quotes
solhint,reason-string
solhint,reentrancy
solhint,state-visibility
solhint,use-natspec
solhint,var-name-mixedcase
solhint,visibility-modifier-order
