contract,ground_truth_category,tool,rule,detected_category,severity
PrivateMarketTokenFactory.sol,,slither,reentrancy-no-eth,reentrancy,Medium
PrivateMarketTokenFactory.sol,,slither,unused-return,unchecked_low_level_calls,Medium
PrivateMarketTokenFactory.sol,,slither,unused-return,unchecked_low_level_calls,Medium
PrivateMarketTokenFactory.sol,,slither,unused-return,unchecked_low_level_calls,Medium
PrivateMarketTokenFactory.sol,,slither,unused-return,unchecked_low_level_calls,Medium
PrivateMarketTokenFactory.sol,,slither,unused-return,unchecked_low_level_calls,Medium
PrivateMarketTokenFactory.sol,,slither,unused-return,unchecked_low_level_calls,Medium
EscrowControllerV5.sol,,slither,arbitrary-send-erc20,access_control,High
EscrowControllerV5.sol,,slither,arbitrary-send-erc20,access_control,High
EscrowControllerV5.sol,,slither,incorrect-equality,arithmetic,Medium
EscrowControllerV5.sol,,slither,incorrect-equality,arithmetic,Medium
EscrowControllerV5.sol,,slither,events-access,access_control,Low
EscrowControllerV5.sol,,slither,calls-loop,denial_of_service,Low
EscrowControllerV5.sol,,slither,calls-loop,denial_of_service,Low
EscrowControllerV5.sol,,slither,calls-loop,denial_of_service,Low
EscrowControllerV5.sol,,slither,reentrancy-benign,reentrancy,Low
EscrowControllerV5.sol,,slither,reentrancy-benign,reentrancy,Low
EscrowControllerV5.sol,,slither,reentrancy-benign,reentrancy,Low
EscrowControllerV5.sol,,slither,reentrancy-events,reentrancy,Low
EscrowControllerV5.sol,,slither,reentrancy-events,reentrancy,Low
EscrowControllerV5.sol,,slither,reentrancy-events,reentrancy,Low
EscrowControllerV5.sol,,slither,timestamp,time_manipulation,Low
FlashExecutor.sol,,slither,missing-zero-check,access_control,Low
FlashExecutor.sol,,slither,missing-zero-check,access_control,Low
FlashExecutor.sol,,slither,missing-zero-check,access_control,Low
FlashExecutor.sol,,slither,reentrancy-events,reentrancy,Low
ERC1967Proxy.sol,,slither,unused-return,unchecked_low_level_calls,Medium
ERC1967Proxy.sol,,slither,unused-return,unchecked_low_level_calls,Medium
JIM.sol,,slither,arbitrary-send-eth,access_control,High
JIM.sol,,slither,reentrancy-eth,reentrancy,High
JIM.sol,,slither,reentrancy-eth,reentrancy,High
JIM.sol,,slither,unchecked-transfer,unchecked_low_level_calls,High
JIM.sol,,slither,unused-return,unchecked_low_level_calls,Medium
JIM.sol,,slither,unused-return,unchecked_low_level_calls,Medium
JIM.sol,,slither,reentrancy-benign,reentrancy,Low
JIM.sol,,slither,reentrancy-benign,reentrancy,Low
JIM.sol,,slither,reentrancy-events,reentrancy,Low
JIM.sol,,slither,reentrancy-events,reentrancy,Low
JIM.sol,,slither,reentrancy-unlimited-gas,reentrancy,Informational
JIM.sol,,slither,reentrancy-unlimited-gas,reentrancy,Informational
TokenTreasury.sol,,slither,missing-zero-check,access_control,Low
TokenTreasury.sol,,slither,reentrancy-unlimited-gas,reentrancy,Informational
EACAggregatorProxy.sol,,slither,unused-return,unchecked_low_level_calls,Medium
EACAggregatorProxy.sol,,slither,unused-return,unchecked_low_level_calls,Medium
EACAggregatorProxy.sol,,slither,missing-zero-check,access_control,Low
SecureVaultUSDC.sol,,slither,reentrancy-events,reentrancy,Low
Token.sol,,slither,arbitrary-send-eth,access_control,High
